skill_id,skill_name,kid_plain_words,parent_why_it_matters,age_fit_5_7,age_fit_8_10,episode_count_planned
01,Telling the truth,"Say what really happened, even when it's scary","Practicing truth-telling in low-stakes moments carries into higher-stakes ones later","One clear lie about one small thing: broke it, ate it, lost it","A lie that snowballs, or a truth that might get a friend in trouble too",4
02,Finishing a hard thing,"Keep going after the fun part is over","Grit is built in unglamorous middle moments, not big finales","A tower, a puzzle, a chore that gets boring halfway through","A project with real risk of public failure, like a game or a performance",4
03,Waiting / delayed gratification,"Wait for the better thing instead of grabbing the OK thing now","Self-regulation predicts long-term outcomes better than almost any other early skill","Candy on the counter, a turn on the swing","Saving toward something instead of spending an allowance immediately",3
04,Asking for help,"Say 'I can't do this alone' out loud","Kids who ask early avoid bigger problems later, and learn help isn't failure","Something literally too heavy or too high to reach","Admitting confusion in front of peers, not just family",3
05,Sharing vs. keeping boundaries,"Share some things, and it's still OK to keep others just yours","Sharing everything isn't healthy generosity — kids need the boundary version too","One prized object, one friend who wants it","Group fairness — whose turn, whose rule",3
06,"Money: earn, save, spend, give","Where money comes from, and the four things you can do with it","Financial habits form years before kids handle real money","Two dollars: spend it now or save it","Earning through a small task, then choosing to give some away",4
07,Names for feelings,"Put a word on what's happening inside before it comes out sideways","Kids who can name a feeling regulate it faster","Mad, sad, scared — three words, three bodies","Mixed feelings — excited and nervous at once",3
08,What to do when angry,"A plan for the moment right after 'I'm furious'","Anger isn't the problem — what happens in the next 10 seconds is","A stomp-and-storm moment with a simple reset","Anger at unfairness, not just at not getting a thing",3
09,Being a good friend,"Notice when a friend needs something, not just when you do","Empathy is a practiced skill, not a fixed trait","Including someone left out of a game","Standing up for a friend when it costs you something small",3
10,Fixing a mistake,"Sorry is the start, not the whole fix","An action-based repair teaches responsibility better than an apology alone","A broken or ruined object, fixed or replaced by effort","A mistake that affected someone else's plans, not just an object",4
11,"Stranger / online safety, at kid level","Simple, non-scary rules for people and devices you don't know","Safety education works best plain and calm, not frightening","A person at the door, a lost-and-found moment at the park","A device or app moment: not clicking, not sharing, telling an adult",3
12,Taking care of your stuff,"Put it away, and it'll still work next time","Ownership of small objects builds responsibility for bigger things later","One toy left out in the rain","A shared or borrowed item, not just their own",3
