ep_id,title,skill_id,logline,conflict,wrong_solution,right_solution,practice_for_viewer,runtime_min,shorts_hook,animation_complexity,week_to_produce,priority,flag
01,The Broken Cup,01,Maya breaks Gramps Lou's favorite cup and says she doesn't know what happened.,The cup is broken on the floor and Maya is the only one who was in the room.,Maya says the cup 'just fell' on its own.,Maya tells Gramps Lou the truth and helps look for a way to fix it.,"Pick one small true thing to say out loud today, even if it's a little embarrassing.",6,The moment right before Maya decides what to say.,S,1,High,
02,The Unfinished Tower,02,Maya and Theo's block tower keeps falling and Maya wants to quit.,The tower falls twice and building it is boring now.,Maya walks away and starts something else.,Maya and Theo figure out what keeps making it fall and try once more.,Pick one thing you stopped this week and try it one more time.,7,The tower falling for the second time.,S,2,High,
03,The Candy on the Counter,03,"Maya is told she can have candy after dinner, and dinner is very far away.","The candy is sitting right there, in reach, before dinner.",Maya sneaks a piece early.,Maya finds something else to do while she waits.,Pick one small wait today and notice how it feels before and after.,6,"Maya's hand reaching, then stopping.",S,3,High,
04,Too Heavy to Carry,04,Maya tries to move a crate by herself at the fix-it stand instead of asking Gramps Lou.,The crate is too heavy and Maya keeps trying alone.,Maya strains and nearly hurts herself rather than ask.,Maya asks Gramps Lou for help and they move it together.,"Think of one thing that's too big to do alone, and say so out loud.",7,Maya struggling alone before she asks.,M,4,High,
05,Sam's Crayon,05,Maya has the only red crayon in class and Sam wants a turn.,Sam asks for the red crayon and Maya doesn't want to give it up.,Maya hides the crayon and pretends she doesn't have it.,"Maya shares the crayon for a few minutes, on her own terms.","Pick one thing you can share today, and one thing it's still OK to keep.",6,Maya's hand closing around the crayon.,S,5,High,
06,Two Dollars,06,Maya earns two dollars and has to decide whether to spend it now or save it.,A toy at the store costs exactly two dollars.,Maya spends both dollars right away.,"Maya saves one dollar toward something bigger, with Gramps Lou's help doing the math.","If you have any money saved, count it and say what it's for.",7,The toy in the store window.,M,6,High,
07,The Storm in My Chest,07,Maya can't tell if she's mad or scared after a scary moment on the swings.,Something startles Maya and the feeling is big and confusing.,"Maya yells at Theo, who didn't do anything.",Nell helps Maya find the right word for what she's feeling.,"Next time you feel big, try naming it out loud: mad, sad, or scared.",6,"Maya's chest-storm moment, before the word.",S,7,High,
08,I Messed Up the Drawing,10,Maya ruins Theo's poster by accident and wants to hide it.,A smear of marker ruins hours of Theo's work.,Maya covers the poster with a book and says nothing.,Maya tells Theo and helps redo the part she ruined.,"If you made a mistake this week, do one thing today to help fix it.",7,The book coming off the ruined poster.,S,8,High,
09,The Missing Cookie,01,A cookie disappears before dinner and Maya has crumbs on her shirt.,Mom asks who took the cookie and Maya has the evidence on her.,"Maya says she 'doesn't know,' crumbs and all.",Maya admits it and offers to skip dessert to make it fair.,Notice one moment today where the truth feels harder than the easy answer.,6,The crumbs Maya forgot about.,S,9,High,
10,Not My Drawing,01,Maya scribbles on Theo's poster by accident and blames the dog.,The dog gets blamed for something Maya did.,Maya lets the dog take the blame.,Maya corrects the story once she sees Theo is genuinely sad.,"If someone else got blamed for something today, say so.",7,"Theo's face when he hears it was the dog, then the correction.",S,10,High,
11,The Late Homework,01,Maya tells Ms. Rivera her homework is 'at home' when it isn't done at all.,Homework is due and Maya didn't do it.,"Maya claims it's finished, just forgotten.",Maya admits it's not done and asks for one more night.,"If something isn't finished, practice saying so plainly.",6,Maya searching her empty backpack.,S,11,Medium,
